Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"Join us at the Southeast Athletic Trainers’ Association on February 9-12. We will be sharing information about the rewarding careers in Athletic Training and give you an opportunity to speak with our recruiters. 

We want to encourage people to visit our booth and find out more about this exciting, fast-growing profession! See you there!",https://www.linkedin.com/feed/update/urn:li:activity:7029498942069297152,Organic,,Bethel Domfeh,02/09/2023,,,All followers,219,,,4,0.018264839,7,1,0,,0.05479452,
"Erik Braun is a Certified Athletic Trainer and currently works with the Service Members at Fort Bragg. He graduated from Grand Valley State University where he received his Bachelor’s degree in Athletic Training. 

Check out our website to learn more about our Athletic Training opportunities: https://lnkd.in/e_aRNSMv 

#HEARTH2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7029147719604559872,Organic,,Bethel Domfeh,02/08/2023,,,All followers,622,,,27,0.04340836,25,1,1,,0.086816721,
"#HEARTH2F February is the season of love. This month, we will introduce you to the newest editions to our team and highlight fun facts they love about themselves! 

Holistic Health and Fitness (H2F) system is the Army's new approach to Solider readiness and human performance. The fitness and health of Soldiers are essential to the Army mission. The Athletic Trainer works with Soldiers to help them achieve and maintain physical readiness through medical evaluation, prevention, treatment and rehabilitation services. 

#HEARTH2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7028756829639729152,Organic,,Bethel Domfeh,02/07/2023,,,All followers,185,,,3,0.016216217,6,0,1,,0.054054055,
"We are now hiring for an Athletic Trainer to join our team in Joint Base Lewis-McChord! Apply here! https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7026961891709091840,Organic,,Bethel Domfeh,02/02/2023,,,All followers,174,,,6,0.034482758,12,0,5,,0.132183909,
Happy New Month! February 1 marks the beginning of Black History Month.,https://www.linkedin.com/feed/update/urn:li:activity:7026576954094952448,Organic,,Bethel Domfeh,02/01/2023,,,All followers,163,,,4,0.024539877,3,0,0,,0.042944785,
"Are you a certified athletic trainer? Join our Holistic Health and Fitness Performance Team in Fort Bliss, Texas! 

Check out our website for more details: https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7026224426199212032,Organic,,Bethel Domfeh,01/31/2023,,,All followers,160,,,5,0.03125,8,0,1,,0.081249997,
"Are you a certified Athletic Trainer? We are seeking full-time certified Athletic Trainers to join our team at several military bases. 
 
Visit our website to apply! https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7023337316618264576,Organic,,Bethel Domfeh,01/23/2023,,,All followers,210,,,20,0.095238097,7,0,0,,0.128571436,
"Are you a certified Athletic Trainer? We are seeking full-time certified Athletic Trainers to join our team at several military bases. 
 
Visit our website to apply! https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7023337316618264576,Sponsored,"Boost_Post_Website Visits_Jan 24, 2023, 18:01:42",Bethel Domfeh,01/23/2023,01/24/2023,02/06/2023,All followers,6599,,,149,0.022579178,0,0,0,0,0.022579178,
"Are you a certified Athletic Trainer? We are seeking full-time certified Athletic Trainers to join our team at several military bases. 
 
Visit our website to apply! https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7023337316618264576,Total,,Bethel Domfeh,01/23/2023,,,All followers,6809,,,169,0.024820091,7,0,0,0,0.025848143,
We want to tell you more about rehabilitating U.S. Soldiers as an Athletic Trainer. Please select from one of the options below.,https://www.linkedin.com/feed/update/urn:li:activity:7021205045375328256,Organic,,Bethel Domfeh,01/17/2023,,,All followers,159,,,7,0.044025157,0,0,0,,0.044025157,
"Happy Martin Luther King Jr. Day from the Cognito team! We are proud to be a women-owned, black-owned business that advocates for diversity and inclusion. 

Visit our website to learn more about our H2F Athletic Training opportunities: https://lnkd.in/e_aRNSMv 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring #MLK",https://www.linkedin.com/feed/update/urn:li:activity:7019745711806152705,Organic,,Bethel Domfeh,01/13/2023,,,All followers,190,,,5,0.02631579,3,0,0,,0.042105265,
"#AthleticTrainers hailed as heroes for their quick and intensive care of Buffalo Bills safety, Damar Hamlin.
 
Click here to learn more about the Athletic Trainer career path and how it contributes to the health and wellness of tactical patients. 

https://lnkd.in/e_aRNSMv",https://www.linkedin.com/feed/update/urn:li:activity:7018258383304548353,Organic,,Bethel Domfeh,01/09/2023,,,All followers,175,,,2,0.011428571,5,0,0,,0.045714285,
"Happy New Year! Health and happiness to you and yours in the new year ahead. 

Click here to see how our Athletic Trainers are guiding Army soldiers to physical fitness and wellness. 

https://lnkd.in/e_aRNSMv


#CognitoSystemsLLC #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7016089708401164288,Organic,,Bethel Domfeh,01/03/2023,,,All followers,198,,,1,0.005050505,8,0,0,,0.045454547,
"Happy holidays from 62 MED brigade in Joint Base Lewis- McChord, WA!

Join our team! Click here to discover how our Athletic Trainers are using the H2F system to provide quality health care and improve solider readiness. https://lnkd.in/e_aRNSMv 
 
#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7014690470089867267,Organic,,Bethel Domfeh,12/30/2022,,,All followers,206,,,13,0.063106798,4,0,1,,0.087378643,
"Happy holidays from 42 MP Brigade in Joint Base Lewis-McChord, WA!
 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7014689497166577664,Organic,,Bethel Domfeh,12/30/2022,,,All followers,158,,,5,0.03164557,5,0,0,,0.06329114,
"Happy holidays from 1-1 AD Brigade in Fort Bliss, Texas! 

#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7014687563944763392,Organic,,Bethel Domfeh,12/30/2022,,,All followers,189,,,18,0.095238097,8,0,1,,0.142857149,
"Happy holidays from 108 ADA Brigade in Ft. Bragg, NC!  
 
We’re hiring! Learn more about how our Athletic Trainers are creating an impact using the Holistic Health and Fitness System.  
#H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7014683472568963072,Organic,,Bethel Domfeh,12/30/2022,,,All followers,166,,,8,0.048192769,3,0,1,,0.072289154,
